Ticker,Earnings Type,Filing Link,Quarter,Quarter Confidence,Date,Date Confidence,Earnings Sentences,Extracted Reporting Date,Extracted Quarter,Extracted Quarter-End Date,Formatted Reporting Date,Year,Quarter From Date,Sanity Check
AAPL,REPORT,https://www.sec.gov/Archives/edgar/data/320193/000032019320000060/aapl-20200730.htm,Unknown Quarter,⚠️ Low Confidence / Uncertain,Unknown,⚠️ Low Confidence / Uncertain,"['to use the extended transition period for complying with any new or revised financial accounting standards provided pursuant to Section 13(a) of the Exchange Act. ☐ Item 2.02\xa0Results of Operations and Financial Condition. On July\xa030, 2020, Apple\xa0Inc. (“Apple”) issued a press release regarding Apple’s financial results for its third fiscal quarter ended June\xa027, 2020. A copy of Apple’s press release is attached hereto as Exhibit\xa099.1. The information contained in this Current Report shall not be deemed “filed” for purposes of Section 18 of the Securities Exchange Act of 1934, as amended (the “Exchange Act”), or i']","July 30, 2020",Unknown,Unknown,2020-07-30,2020,3,"⚠️ Missing Quarters: [1, 2]"
AAPL,REPORT,https://www.sec.gov/Archives/edgar/data/320193/000032019320000094/aapl-20201029.htm,Unknown Quarter,⚠️ Low Confidence / Uncertain,Unknown,⚠️ Low Confidence / Uncertain,"[' the extended transition period for complying with any new or revised financial accounting standards provided pursuant to Section 13(a) of the Exchange Act. ☐ Item 2.02\xa0\xa0\xa0\xa0Results of Operations and Financial Condition. On October\xa029, 2020, Apple\xa0Inc. (“Apple”) issued a press release regarding Apple’s financial results for its fourth fiscal quarter ended September\xa026, 2020. A copy of Apple’s press release is attached hereto as Exhibit\xa099.1. The information contained in this Current Report shall not be deemed “filed” for purposes of Section 18 of the Securities Exchange Act of 1934, as amended (the “Exchange Act”), or i']","October 29, 2020",Unknown,Unknown,2020-10-29,2020,4,"⚠️ Missing Quarters: [1, 2]"
AAPL,REPORT,https://www.sec.gov/Archives/edgar/data/320193/000032019321000009/aapl-20210127.htm,Unknown Quarter,⚠️ Low Confidence / Uncertain,Unknown,⚠️ Low Confidence / Uncertain,"[' the extended transition period for complying with any new or revised financial accounting standards provided pursuant to Section 13(a) of the Exchange Act. ☐ Item 2.02\xa0\xa0\xa0\xa0Results of Operations and Financial Condition. On January\xa027, 2021, Apple\xa0Inc. (“Apple”) issued a press release regarding Apple’s financial results for its first fiscal quarter ended December\xa026, 2020. A copy of Apple’s press release is attached hereto as Exhibit\xa099.1. The information contained in this Current Report shall not be deemed “filed” for purposes of Section 18 of the Securities Exchange Act of 1934, as amended (the “Exchange Act”), or i']","January 27, 2021",Unknown,Unknown,2021-01-27,2021,1,✅ All Reports Present
AAPL,REPORT,https://www.sec.gov/Archives/edgar/data/320193/000032019321000055/aapl-20210428.htm,Unknown Quarter,⚠️ Low Confidence / Uncertain,Unknown,⚠️ Low Confidence / Uncertain,"['se the extended transition period for complying with any new or revised financial accounting standards provided pursuant to Section 13(a) of the Exchange Act. ☐ Item 2.02\xa0\xa0\xa0\xa0Results of Operations and Financial Condition. On April\xa028, 2021, Apple\xa0Inc. (“Apple”) issued a press release regarding Apple’s financial results for its second fiscal quarter ended March\xa027, 2021. A copy of Apple’s press release is attached hereto as Exhibit\xa099.1. The information contained in this Current Report shall not be deemed “filed” for purposes of Section 18 of the Securities Exchange Act of 1934, as amended (the “Exchange Act”), or i']","April 28, 2021",Unknown,Unknown,2021-04-28,2021,2,✅ All Reports Present
AAPL,REPORT,https://www.sec.gov/Archives/edgar/data/320193/000032019321000063/aapl-20210727.htm,Unknown Quarter,⚠️ Low Confidence / Uncertain,Unknown,⚠️ Low Confidence / Uncertain,"['use the extended transition period for complying with any new or revised financial accounting standards provided pursuant to Section 13(a) of the Exchange Act. ☐ Item 2.02\xa0\xa0\xa0\xa0Results of Operations and Financial Condition. On July\xa027, 2021, Apple\xa0Inc. (“Apple”) issued a press release regarding Apple’s financial results for its third fiscal quarter ended June\xa026, 2021. A copy of Apple’s press release is attached hereto as Exhibit\xa099.1. The information contained in this Current Report shall not be deemed “filed” for purposes of Section 18 of the Securities Exchange Act of 1934, as amended (the “Exchange Act”), or i']","July 27, 2021",Unknown,Unknown,2021-07-27,2021,3,✅ All Reports Present
AAPL,REPORT,https://www.sec.gov/Archives/edgar/data/320193/000032019321000104/aapl-20211028.htm,Unknown Quarter,⚠️ Low Confidence / Uncertain,Unknown,⚠️ Low Confidence / Uncertain,"[' the extended transition period for complying with any new or revised financial accounting standards provided pursuant to Section 13(a) of the Exchange Act. ☐ Item 2.02\xa0\xa0\xa0\xa0Results of Operations and Financial Condition. On October\xa028, 2021, Apple\xa0Inc. (“Apple”) issued a press release regarding Apple’s financial results for its fourth fiscal quarter ended September\xa025, 2021. A copy of Apple’s press release is attached hereto as Exhibit\xa099.1. The information contained in this Current Report shall not be deemed “filed” for purposes of Section 18 of the Securities Exchange Act of 1934, as amended (the “Exchange Act”), or i']","October 28, 2021",Unknown,Unknown,2021-10-28,2021,4,✅ All Reports Present
AAPL,REPORT,https://www.sec.gov/Archives/edgar/data/320193/000032019322000006/aapl-20220127.htm,Unknown Quarter,⚠️ Low Confidence / Uncertain,Unknown,⚠️ Low Confidence / Uncertain,"[' the extended transition period for complying with any new or revised financial accounting standards provided pursuant to Section 13(a) of the Exchange Act. ☐ Item 2.02\xa0\xa0\xa0\xa0Results of Operations and Financial Condition. On January\xa027, 2022, Apple\xa0Inc. (“Apple”) issued a press release regarding Apple’s financial results for its first fiscal quarter ended December\xa025, 2021. A copy of Apple’s press release is attached hereto as Exhibit\xa099.1. The information contained in this Current Report shall not be deemed “filed” for purposes of Section 18 of the Securities Exchange Act of 1934, as amended (the “Exchange Act”), or i']","January 27, 2022",Unknown,Unknown,2022-01-27,2022,1,✅ All Reports Present
AAPL,REPORT,https://www.sec.gov/Archives/edgar/data/320193/000032019322000058/aapl-20220428.htm,Unknown Quarter,⚠️ Low Confidence / Uncertain,Unknown,⚠️ Low Confidence / Uncertain,"['se the extended transition period for complying with any new or revised financial accounting standards provided pursuant to Section 13(a) of the Exchange Act. ☐ Item 2.02\xa0\xa0\xa0\xa0Results of Operations and Financial Condition. On April\xa028, 2022, Apple\xa0Inc. (“Apple”) issued a press release regarding Apple’s financial results for its second fiscal quarter ended March\xa026, 2022. A copy of Apple’s press release is attached hereto as Exhibit\xa099.1. The information contained in this Current Report shall not be deemed “filed” for purposes of Section 18 of the Securities Exchange Act of 1934, as amended (the “Exchange Act”), or i']","April 28, 2022",Unknown,Unknown,2022-04-28,2022,2,✅ All Reports Present
AAPL,REPORT,https://www.sec.gov/Archives/edgar/data/320193/000032019322000069/aapl-20220728.htm,Unknown Quarter,⚠️ Low Confidence / Uncertain,Unknown,⚠️ Low Confidence / Uncertain,"['use the extended transition period for complying with any new or revised financial accounting standards provided pursuant to Section 13(a) of the Exchange Act. ☐ Item 2.02\xa0\xa0\xa0\xa0Results of Operations and Financial Condition. On July\xa028, 2022, Apple\xa0Inc. (“Apple”) issued a press release regarding Apple’s financial results for its third fiscal quarter ended June\xa025, 2022. A copy of Apple’s press release is attached hereto as Exhibit\xa099.1. The information contained in this Current Report shall not be deemed “filed” for purposes of Section 18 of the Securities Exchange Act of 1934, as amended (the “Exchange Act”), or i']","July 28, 2022",Unknown,Unknown,2022-07-28,2022,3,✅ All Reports Present
AAPL,REPORT,https://www.sec.gov/Archives/edgar/data/320193/000032019322000107/aapl-20221027.htm,Unknown Quarter,⚠️ Low Confidence / Uncertain,Unknown,⚠️ Low Confidence / Uncertain,"[' the extended transition period for complying with any new or revised financial accounting standards provided pursuant to Section 13(a) of the Exchange Act. ☐ Item 2.02\xa0\xa0\xa0\xa0Results of Operations and Financial Condition. On October\xa027, 2022, Apple\xa0Inc. (“Apple”) issued a press release regarding Apple’s financial results for its fourth fiscal quarter ended September\xa024, 2022. A copy of Apple’s press release is attached hereto as Exhibit\xa099.1. The information contained in this Current Report shall not be deemed “filed” for purposes of Section 18 of the Securities Exchange Act of 1934, as amended (the “Exchange Act”), or i']","October 27, 2022",Unknown,Unknown,2022-10-27,2022,4,✅ All Reports Present
